City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Salinopolis,BR,77.05,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
3,Puerto Ayora,EC,76.55,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
4,Touros,BR,76.89,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
8,Carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
10,Hithadhoo,MV,82.85,clear sky,-0.6,73.0833,Scoop Guest House
17,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
18,San Antonio,US,77.25,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
20,Sohag,EG,75.65,clear sky,26.557,31.6948,Civil Registry - Sohag 1
21,Victoria,HK,78.96,clear sky,22.2855,114.1577,Mini Hotel Central
28,San Patricio,US,77.09,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
30,Rikitea,PF,78.64,broken clouds,-23.1203,-134.9692,People ThankYou
33,Harper,LR,79.79,overcast clouds,4.375,-7.7169,Screensaver
36,Faanui,PF,83.1,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
37,Alice Town,BS,77.7,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
38,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
41,Camocim,BR,75.94,light rain,-2.9022,-40.8411,Ilha Praia Hotel
47,Salalah,OM,80.19,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
48,Matanzas,CU,76.01,scattered clouds,23.0411,-81.5775,hostal sueños
49,Lorengau,PG,83.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
52,Ilaya,PH,83.52,overcast clouds,5.8153,125.2267,Balay nila meathan
53,Alugan,PH,82.17,overcast clouds,12.2188,125.4808,JM Lodge
60,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
67,Isangel,VU,87.91,light rain,-19.55,169.2667,Tanna Lodge
68,Butaritari,KI,82.08,light rain,3.0707,172.7902,Isles Sunset Lodge
76,Kahului,US,75.85,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
80,Safaga,EG,77.18,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
82,Gizo,SB,84.2,moderate rain,-8.103,156.8419,Imagination Island
85,Puerto Carreno,CO,78.78,broken clouds,6.189,-67.4859,Casa Hotel Victoria
87,The Valley,AI,78.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
90,Atuona,PF,79.27,light rain,-9.8,-139.0333,Villa Enata
100,Calabozo,VE,84.74,overcast clouds,8.9242,-67.4293,Hotel Giardini
101,Noumea,NC,84.99,heavy intensity rain,-22.2763,166.4572,Hôtel Le Lagon
102,Bahia Honda,CU,75.4,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
104,Mogadishu,SO,80.47,scattered clouds,2.0371,45.3438,Hotel Juba
119,Dehloran,IR,78.66,scattered clouds,32.6941,47.2679,کافه گیم استورم
123,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
127,San Pedro,PH,79.83,moderate rain,14.35,121.0167,Esquivel's Garden And Resort
128,Moerai,PF,81.79,light rain,-22.4333,-151.3333,Le Manotel
134,Zhanjiang,CN,76.96,scattered clouds,21.2815,110.3427,创业旅店
144,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
148,Kudahuvadhoo,MV,83.39,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
149,Hervey Bay,AU,83.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
150,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
151,Kimbe,PG,83.61,light rain,-5.5502,150.1429,Kimbe Bay Hotel
159,Pochutla,MX,77.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
164,Jacmel,HT,75.04,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
174,Santo Domingo,DO,77.94,few clouds,18.5001,-69.9886,Cabañas City Heart
176,Taunsa,PK,89.62,clear sky,30.7048,70.6505,Nan shop
179,Puerto Escondido,MX,78.08,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
183,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
184,Santa Rosa,PH,80.58,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
185,Atambua,ID,83.41,few clouds,-9.1061,124.8925,Kost Alfa Flat
186,Coro,VE,76.46,few clouds,11.4045,-69.6734,Federal
188,Dingle,PH,85.95,light rain,10.9995,122.6711,SEGAYA PROPERTY
190,Vao,NC,78.55,heavy intensity rain,-22.6667,167.4833,Hotel Kou-Bugny
191,Cap Malheureux,MU,78.48,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
201,Tiarei,PF,86.02,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
203,Itarema,BR,76.77,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
205,Bonthe,SL,76.15,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
208,Broken Hill,AU,80.31,clear sky,-31.95,141.4333,Royal Exchange Hotel
214,Lodwar,KE,84.83,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
218,Chicomuselo,MX,77.14,broken clouds,15.7667,-92.2667,En Chicomuselo
221,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
222,Cockburn Town,TC,77.83,clear sky,21.4612,-71.1419,Osprey Beach Hotel
223,Manokwari,ID,82.87,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
229,Ginda,IN,75.88,scattered clouds,30.6945,78.4932,Sunil Bisht
231,Meulaboh,ID,83.75,overcast clouds,4.1363,96.1285,Kost Pria
232,Srandakan,ID,84.67,few clouds,-7.9386,110.2506,Puri Brata
233,Kavieng,PG,82.69,light rain,-2.5744,150.7967,Nusa Island Retreat
234,Vanimo,PG,84.45,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
239,Ponnani,IN,85.32,broken clouds,10.767,75.9252,Rouba Residency
240,Georgetown,MY,84.13,scattered clouds,5.4112,100.3354,Cititel Penang
241,Dubbo,AU,80.73,clear sky,-32.25,148.6167,Quality Inn Dubbo International
251,Aguadilla,PR,76.64,few clouds,18.4275,-67.1541,WSSM Surf House
257,Seydi,TM,75.11,scattered clouds,39.4816,62.9137,Seydi oteli
262,Sur,OM,87.22,clear sky,22.5667,59.5289,Sur Plaza Hotel
267,Tual,ID,82.45,clear sky,-5.6667,132.75,Grand Vilia Hotel
279,San Policarpo,PH,82.42,overcast clouds,12.1791,125.5072,Agapita M. Nicart
284,Kavaratti,IN,82.49,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
285,Djenne,ML,85.68,scattered clouds,13.9061,-4.5533,Hôtel Chez Baba
290,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
295,Ternate,ID,83.73,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
302,Omboue,GA,77.18,overcast clouds,-1.5746,9.2618,Hotel Olako
308,Soyo,AO,77.59,overcast clouds,-6.1349,12.3689,Hotel Mpampa
309,Hobyo,SO,81.63,clear sky,5.3505,48.5268,Iftin hotel hobyo
310,Banda Aceh,ID,83.75,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
313,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
322,Lethem,GY,76.05,broken clouds,3.3803,-59.7968,Savannah Inn
323,Mahibadhoo,MV,83.26,few clouds,3.7833,72.9667,Omadhoo Inn
326,Ulladulla,AU,77.77,broken clouds,-35.35,150.4667,Sandpiper Motel
329,Waddan,LY,79.97,clear sky,29.1614,16.139,محل الشريف محمد العايب
332,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
339,Santa Marta,CO,84.25,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
343,Yenagoa,NG,77.54,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
348,Arraial Do Cabo,BR,75.99,clear sky,-22.9661,-42.0278,Pousada Porto Praia
350,Vaitape,PF,83.14,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
353,Wodonga,AU,78.12,clear sky,-36.1167,146.8833,The Hume Inn Motel
354,Manta,EC,76.78,scattered clouds,-0.95,-80.7333,Balandra Hotel
360,Sulangan,PH,81.59,moderate rain,11.1373,123.7228,Maia's Beach Resort
364,Arecibo,PR,77.25,scattered clouds,18.4724,-66.7157,Atlantic Sand Oasis
365,Leeton,AU,79.9,clear sky,-34.5667,146.4,Hydro Hotel
371,Kapaya,PH,87.73,light rain,6.5711,124.5631,D'Teacher's Dream Resort
373,Wanlaweyn,SO,78.93,clear sky,2.6185,44.8938,GAASHAAN HOME
375,Sinnamary,GF,77.09,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
377,Umm Lajj,SA,76.08,clear sky,25.0213,37.2685,Moon light Furnished Units
379,Veraval,IN,87.42,clear sky,20.9,70.3667,Lords Inn Somnath
382,Koumac,NC,79.61,overcast clouds,-20.5667,164.2833,Le Monitel
383,Sahibganj,IN,88.48,few clouds,25.25,87.65,hotel
386,Jalu,LY,78.58,clear sky,29.0331,21.5482,صاحبة الفخامة
388,Piacabucu,BR,76.6,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
