City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Salinopolis,BR,-0.6136,-47.3561,77.05,89,95,6.42,overcast clouds
1,Necochea,AR,-38.5473,-58.7368,52.03,66,45,9.66,scattered clouds
2,Ancud,CL,-41.8697,-73.8203,57.22,97,100,12.06,light rain
3,Puerto Ayora,EC,-0.7393,-90.3518,76.55,96,24,4.0,few clouds
4,Touros,BR,-5.1989,-35.4608,76.89,83,80,9.35,broken clouds
5,Qaanaaq,GL,77.484,-69.3632,28.96,73,100,9.66,overcast clouds
6,Chuy,UY,-33.6971,-53.4616,53.85,65,0,3.76,clear sky
7,Saskylakh,RU,71.9167,114.0833,-3.14,93,99,8.12,overcast clouds
8,Carnarvon,AU,-24.8667,113.6333,84.27,58,0,10.36,clear sky
9,Ushuaia,AR,-54.8,-68.3,35.26,80,100,18.41,sleet
10,Hithadhoo,MV,-0.6,73.0833,82.85,67,6,2.19,clear sky
11,New Norfolk,AU,-42.7826,147.0587,58.66,61,100,1.99,overcast clouds
12,Castro,BR,-24.7911,-50.0119,63.63,96,100,2.73,light rain
13,Cape Town,ZA,-33.9258,18.4232,61.88,86,75,13.8,broken clouds
14,Montrose,US,38.4166,-108.2673,49.41,39,100,10.54,overcast clouds
15,Mehamn,NO,71.0357,27.8492,26.13,75,94,13.11,light snow
16,Groningen,NL,53.25,6.75,44.67,87,75,9.22,broken clouds
17,Avarua,CK,-21.2078,-159.775,82.45,74,100,3.44,overcast clouds
18,San Antonio,US,29.4241,-98.4936,77.25,74,0,11.5,clear sky
19,Mount Isa,AU,-20.7333,139.5,94.77,7,6,16.11,clear sky
20,Sohag,EG,26.557,31.6948,75.65,13,0,3.67,clear sky
21,Victoria,HK,22.2855,114.1577,78.96,57,6,8.01,clear sky
22,Hobart,AU,-42.8794,147.3294,59.02,63,75,13.8,broken clouds
23,Thompson,CA,55.7435,-97.8558,33.96,55,0,4.61,clear sky
24,East London,ZA,-33.0153,27.9116,63.54,77,0,5.75,clear sky
25,Hermanus,ZA,-34.4187,19.2345,59.88,81,52,11.81,broken clouds
26,College,US,64.8569,-147.8028,21.07,56,0,5.75,clear sky
27,Manbij,SY,36.5281,37.9549,57.29,58,34,6.35,scattered clouds
28,San Patricio,US,28.017,-97.5169,77.09,88,55,10.67,broken clouds
29,Hasaki,JP,35.7333,140.8333,55.8,79,100,17.74,overcast clouds
30,Rikitea,PF,-23.1203,-134.9692,78.64,65,55,13.49,broken clouds
31,Egvekinot,RU,66.3167,-179.1667,-5.1,85,27,13.82,scattered clouds
32,Barrow,US,71.2906,-156.7887,-5.78,71,100,12.66,light snow
33,Harper,LR,4.375,-7.7169,79.79,87,100,7.27,overcast clouds
34,Santa Maria Chiquimula,GT,15.0303,-91.3292,59.74,96,59,3.0,broken clouds
35,Kozmodemyansk,RU,56.3367,46.5711,26.01,93,98,5.93,overcast clouds
36,Faanui,PF,-16.4833,-151.75,83.1,75,23,17.92,few clouds
37,Alice Town,BS,25.7167,-79.3,77.7,78,86,12.62,overcast clouds
38,Geraldton,AU,-28.7667,114.6,79.21,53,0,16.11,clear sky
39,Vardo,NO,70.3705,31.1107,29.57,57,100,22.62,overcast clouds
40,Tasiilaq,GL,65.6145,-37.6368,4.78,91,96,4.76,overcast clouds
41,Camocim,BR,-2.9022,-40.8411,75.94,89,94,4.99,light rain
42,Mataura,NZ,-46.1927,168.8643,62.6,81,100,2.01,overcast clouds
