City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2022-04-04 20:45:31,22.0752,-159.319,78.78,75,40,16.11
1,Lebu,CL,2022-04-04 20:45:31,-37.6167,-73.65,57.61,74,42,17.0
2,Georgetown,MY,2022-04-04 20:43:45,5.4112,100.3354,78.73,93,20,8.05
3,Bethel,US,2022-04-04 20:45:32,41.3712,-73.414,56.01,43,20,11.5
4,Bonavista,CA,2022-04-04 20:45:32,48.6499,-53.1147,35.28,81,96,11.92
5,Palasa,IN,2022-04-04 20:45:32,18.7667,84.4167,75.92,95,24,7.76
6,Inhambane,MZ,2022-04-04 20:45:32,-23.865,35.3833,75.27,63,2,9.53
7,Cape Town,ZA,2022-04-04 20:45:04,-33.9258,18.4232,62.89,89,40,8.05
8,New Norfolk,AU,2022-04-04 20:41:42,-42.7826,147.0587,54.9,80,100,1.01
9,Puerto Carreno,CO,2022-04-04 20:45:33,6.189,-67.4859,91.38,55,20,8.05
10,Qaanaaq,GL,2022-04-04 20:41:32,77.484,-69.3632,23.41,74,100,7.16
11,Kamenka,RU,2022-04-04 20:45:33,51.3223,42.7678,30.07,88,27,7.74
12,Hilo,US,2022-04-04 20:40:43,19.7297,-155.09,74.62,87,100,3.44
13,Bambous Virieux,MU,2022-04-04 20:45:33,-20.3428,57.7575,79.21,89,75,9.22
14,Jamestown,US,2022-04-04 20:41:28,42.097,-79.2353,45.01,49,75,8.05
15,Ola,RU,2022-04-04 20:45:34,59.5833,151.2833,19.76,88,100,17.69
16,Nzega,RW,2022-04-04 20:45:34,-2.479,29.5564,55.0,94,39,4.88
17,Puerto Ayora,EC,2022-04-04 20:45:34,-0.7393,-90.3518,82.36,89,64,5.99
18,Kavieng,PG,2022-04-04 20:45:34,-2.5744,150.7967,80.76,81,100,6.64
19,Bredasdorp,ZA,2022-04-04 20:43:24,-34.5322,20.0403,62.37,75,9,11.14
20,Hobart,AU,2022-04-04 20:42:56,-42.8794,147.3294,55.26,80,75,16.11
21,Milledgeville,US,2022-04-04 20:45:35,33.0801,-83.2321,80.1,30,0,0.0
22,Ouadda,CF,2022-04-04 20:45:35,8.0777,22.4007,80.35,42,84,5.66
23,Dikson,RU,2022-04-04 20:45:35,73.5069,80.5464,-0.72,92,55,9.75
24,Punta Arenas,CL,2022-04-04 20:43:37,-53.15,-70.9167,41.11,75,20,24.16
25,Tasiilaq,GL,2022-04-04 20:45:35,65.6145,-37.6368,21.36,93,99,9.13
26,Karasburg,NA,2022-04-04 20:45:36,-28.0167,18.75,57.9,54,0,12.41
27,East London,ZA,2022-04-04 20:41:02,-33.0153,27.9116,66.43,82,55,10.83
28,Christchurch,NZ,2022-04-04 20:45:36,-43.5333,172.6333,60.33,88,100,4.0
29,Rikitea,PF,2022-04-04 20:45:36,-23.1203,-134.9692,78.19,60,6,12.46
30,Ilebo,CD,2022-04-04 20:45:36,-4.3167,20.5833,68.76,98,100,1.7
31,Faya,SA,2022-04-04 20:44:10,18.3851,42.4509,66.72,25,8,5.23
32,Piacabucu,BR,2022-04-04 20:45:37,-10.4056,-36.4344,78.31,72,5,7.27
