City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
0,Yellowknife,CA,2022-02-03 02:17:32,62.456,-114.3525,-27.71,83,20,5.75,few clouds
1,Provideniya,RU,2022-02-03 02:17:32,64.3833,-173.3,3.49,72,100,21.56,overcast clouds
2,Punta Arenas,CL,2022-02-03 02:17:33,-53.15,-70.9167,46.51,76,75,5.75,broken clouds
3,Hobart,AU,2022-02-03 02:17:34,-42.8794,147.3294,63.05,78,75,1.99,broken clouds
4,Vaini,TO,2022-02-03 02:16:18,-21.2,-175.2,86.16,74,20,8.05,few clouds
5,Port Elizabeth,ZA,2022-02-03 02:16:25,-33.918,25.5701,71.1,88,75,14.97,broken clouds
6,Murree,PK,2022-02-03 02:17:36,33.9073,73.393,31.24,93,100,4.88,snow
7,Hermanus,ZA,2022-02-03 02:17:37,-34.4187,19.2345,65.89,84,0,10.74,clear sky
8,Avarua,CK,2022-02-03 02:17:37,-21.2078,-159.775,84.25,74,75,17.27,broken clouds
9,Dunedin,NZ,2022-02-03 02:17:38,-45.8742,170.5036,59.81,90,100,3.0,light rain
10,Pangnirtung,CA,2022-02-03 02:17:38,66.1451,-65.7125,5.81,85,100,7.7,overcast clouds
11,San Felipe,VE,2022-02-03 02:17:39,10.3399,-68.7425,70.99,95,69,4.47,broken clouds
12,Codrington,AU,2022-02-03 02:17:39,-38.2667,141.9667,61.81,60,100,16.62,overcast clouds
13,Port Hardy,CA,2022-02-03 02:15:13,50.6996,-127.4199,37.58,93,100,16.11,light rain
14,Algodones,MX,2022-02-03 02:17:40,20.3888,-105.4773,66.74,84,0,2.46,clear sky
15,Rikitea,PF,2022-02-03 02:17:41,-23.1203,-134.9692,78.55,74,89,8.79,overcast clouds
16,Mataura,NZ,2022-02-03 02:17:41,-46.1927,168.8643,58.48,83,100,4.52,light rain
17,Ushuaia,AR,2022-02-03 02:13:17,-54.8,-68.3,35.1,90,9,1.48,clear sky
18,Port Alfred,ZA,2022-02-03 02:16:09,-33.5906,26.891,73.29,92,85,9.48,overcast clouds
19,Boyuibe,BO,2022-02-03 02:17:42,-20.4167,-63.2833,74.61,59,38,5.44,scattered clouds
20,Cap-Aux-Meules,CA,2022-02-03 02:17:43,47.3821,-61.8597,30.25,86,75,14.97,broken clouds
21,Raudeberg,NO,2022-02-03 02:17:43,61.9875,5.1352,34.47,73,100,5.99,overcast clouds
22,Lahad Datu,MY,2022-02-03 02:17:44,5.0268,118.327,82.96,68,84,3.85,broken clouds
23,New Norfolk,AU,2022-02-03 02:16:05,-42.7826,147.0587,63.91,81,96,5.21,overcast clouds
24,Saskylakh,RU,2022-02-03 02:17:45,71.9167,114.0833,-31.94,100,17,2.89,few clouds
25,Butaritari,KI,2022-02-03 02:16:15,3.0707,172.7902,81.7,78,100,15.68,light rain
26,Yulara,AU,2022-02-03 02:17:45,-25.2406,130.9889,73.24,43,100,16.11,overcast clouds
27,Mangai,CD,2022-02-03 02:17:46,-4.05,19.5333,71.46,90,100,0.47,overcast clouds
28,Margate,GB,2022-02-03 02:17:46,51.3813,1.3862,47.91,85,100,3.0,overcast clouds
29,Inta,RU,2022-02-03 02:17:47,66.0317,60.1659,14.14,96,100,5.44,light snow
30,Beloha,MG,2022-02-03 02:17:48,-25.1667,45.05,69.17,81,0,11.01,clear sky
31,Busselton,AU,2022-02-03 02:16:16,-33.65,115.3333,81.05,35,76,13.24,broken clouds
32,Pemba,MZ,2022-02-03 02:17:48,-12.974,40.5178,77.7,94,20,8.05,few clouds
33,Paso De Carrasco,UY,2022-02-03 02:17:49,-34.8603,-56.0522,76.24,78,0,11.5,clear sky
34,Shelburne,CA,2022-02-03 02:17:50,44.0787,-80.2041,25.12,95,100,10.47,overcast clouds
35,East London,ZA,2022-02-03 02:17:50,-33.0153,27.9116,73.96,93,99,7.87,light rain
36,Itoman,JP,2022-02-03 02:16:20,26.1247,127.6694,73.42,88,75,21.85,broken clouds
37,Zabaykalsk,RU,2022-02-03 02:17:51,49.6333,117.3167,-9.96,89,22,6.2,few clouds
38,Hualmay,PE,2022-02-03 02:17:51,-11.0964,-77.6139,70.5,80,81,9.84,broken clouds
39,Nizhniy Kuranakh,RU,2022-02-03 02:17:52,58.8353,125.4869,-8.16,93,100,6.53,overcast clouds
40,Ilulissat,GL,2022-02-03 02:17:53,69.2167,-51.1,1.42,46,20,28.77,few clouds
41,Turukhansk,RU,2022-02-03 02:17:53,65.8167,87.9833,-11.96,99,54,6.76,broken clouds
42,Oktyabrskoye,RU,2022-02-03 02:17:54,43.0645,44.7417,24.94,100,100,2.24,overcast clouds
43,Ponta Do Sol,PT,2022-02-03 02:17:54,32.6667,-17.1,67.71,78,100,11.27,overcast clouds
44,Pauini,BR,2022-02-03 02:17:55,-7.7136,-66.9764,71.33,99,100,0.63,overcast clouds
45,Sept-Iles,CA,2022-02-03 02:17:55,50.2001,-66.3821,28.92,94,100,3.0,overcast clouds
46,Atuona,PF,2022-02-03 02:17:57,-9.8,-139.0333,78.31,78,100,15.88,light rain
47,Mamlyutka,KZ,2022-02-03 02:17:58,54.9375,68.5394,14.32,96,94,7.0,overcast clouds
48,Souillac,MU,2022-02-03 02:17:58,-20.5167,57.5167,79.36,94,75,25.32,heavy intensity rain
49,Padang,ID,2022-02-03 02:18:59,-0.9492,100.3543,78.85,71,68,1.63,broken clouds
50,Mar Del Plata,AR,2022-02-03 02:18:59,-38.0023,-57.5575,74.08,94,100,3.0,moderate rain
51,Blagodarnyy,RU,2022-02-03 02:19:00,45.0978,43.4364,34.34,88,83,4.56,broken clouds
52,San Policarpo,PH,2022-02-03 02:19:00,12.1791,125.5072,80.33,83,99,15.52,overcast clouds
53,Chuy,UY,2022-02-03 02:19:01,-33.6971,-53.4616,71.06,87,0,11.27,moderate rain
54,Mount Darwin,ZW,2022-02-03 02:19:01,-16.7725,31.5838,65.86,97,94,1.83,overcast clouds
55,Torit,SS,2022-02-03 02:19:02,4.4133,32.5678,78.44,33,100,1.16,overcast clouds
56,Mitchell,US,2022-02-03 02:19:02,43.7094,-98.0298,4.1,56,75,7.0,broken clouds
57,Havre-Saint-Pierre,CA,2022-02-03 02:19:03,50.2334,-63.5986,28.99,93,100,10.36,overcast clouds
58,Tuktoyaktuk,CA,2022-02-03 02:19:04,69.4541,-133.0374,-20.2,69,75,13.8,light snow
59,Saldanha,ZA,2022-02-03 02:19:04,-33.0117,17.9442,63.01,90,0,8.39,clear sky
60,Albany,US,2022-02-03 02:17:14,42.6001,-73.9662,41.81,82,100,4.07,overcast clouds
61,Dikson,RU,2022-02-03 02:16:10,73.5069,80.5464,-5.93,96,100,13.13,overcast clouds
62,Adrar,MR,2022-02-03 02:19:05,20.5022,-10.0711,65.08,19,0,11.32,clear sky
63,Cape Town,ZA,2022-02-03 02:17:51,-33.9258,18.4232,66.61,87,40,3.0,scattered clouds
64,Cidreira,BR,2022-02-03 02:15:06,-30.1811,-50.2056,75.61,87,5,19.53,clear sky
65,Elizabeth City,US,2022-02-03 02:19:06,36.2946,-76.2511,45.01,93,20,3.44,few clouds
66,Bundaberg,AU,2022-02-03 02:19:07,-24.85,152.35,88.21,69,40,3.0,scattered clouds
67,Elumalai,IN,2022-02-03 02:19:07,9.8667,77.7,72.5,73,1,1.34,clear sky
68,Kapaa,US,2022-02-03 02:19:08,22.0752,-159.319,78.78,68,0,8.05,clear sky
69,Bereda,ES,2022-02-03 02:19:08,43.2686,-7.5406,45.41,96,97,1.86,overcast clouds
70,Talnakh,RU,2022-02-03 02:19:09,69.4865,88.3972,-9.27,99,100,6.46,overcast clouds
71,Nanortalik,GL,2022-02-03 02:19:09,60.1432,-45.2371,15.82,65,100,10.04,overcast clouds
